status_id,status_message,link_name,status_type,status_link,status_published
1818120751735505_1825401414340772,rip,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1825401414340772/?type=3,2016-11-07 23:36:18
1818120751735505_1825381277676119,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1825381277676119/?type=3,2016-11-07 22:18:47
1818120751735505_1825330674347846,give it to me babyy,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1825330674347846/?type=3,2016-11-07 19:58:56
1818120751735505_1825283011019279,Just dont,Baby's names,link,https://www.facebook.com/GreatBabysNames/posts/894979200637118,2016-11-07 16:40:44
1818120751735505_1825046881042892,Nailed it,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1825046881042892/?type=3,2016-11-07 10:23:37
1818120751735505_1824782387736008,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1824782387736008/?type=3,2016-11-06 21:45:52
1818120751735505_1824723224408591,I love chilidogs,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1824723224408591/?type=3,2016-11-06 18:16:10
1818120751735505_1824707381076842,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1824707381076842/?type=3,2016-11-06 17:10:49
1818120751735505_1824121997802047,#Whoa #Wow,HoodPocahontas,photo,https://www.facebook.com/HoodPocahontas/photos/a.787393481366007.1073741827.787392161366139/946099735495380/?type=3,2016-11-05 13:14:25
1818120751735505_1823295657884681,I'm interested,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1823295657884681/?type=3,2016-11-03 19:06:42
1818120751735505_1823257311221849,,i.imgur.com,link,http://i.imgur.com/ipnggbG.gif,2016-11-03 16:44:35
1818120751735505_1822922017922045,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1822922017922045/?type=3,2016-11-03 01:01:19
1818120751735505_1822728421274738,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1822728421274738/?type=3,2016-11-02 15:03:17
1818120751735505_1822726324608281,What are your waiting you?,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1822726324608281/?type=3,2016-11-02 14:53:45
1818120751735505_1822646544616259,100lbs of pure iron babyy,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1822646544616259/?type=3,2016-11-02 11:13:03
1818120751735505_1822418527972394,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1822418527972394/?type=3,2016-11-02 00:22:21
1818120751735505_1822251817989065,Spike dog sandwich,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1822251817989065/?type=3,2016-11-01 16:00:23
1818120751735505_1821979371349643,"I've been sexually activated, doc",,status,,2016-11-01 03:57:27
1818120751735505_1821928968021350,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1821928968021350/?type=3,2016-11-01 00:51:58
1818120751735505_1821842171363363,"what the frig

https://www.facebook.com/projectexpiredmac/videos/669762723189039/",Project: Expired Mac PEM,video,https://www.facebook.com/projectexpiredmac/videos/669762723189039/,2016-10-31 19:10:09
1818120751735505_1821756468038600,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1821756468038600/?type=3,2016-10-31 14:22:58
1818120751735505_1821511614729752,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1821511614729752/?type=3,2016-10-31 03:04:33
1818120751735505_1821490011398579,Does anyone else get tired of this super-bright-lighting Angelica meme porn with perfect hues and angles? It's like the kind of porn the guy from American Psycho would watch.,,status,,2016-10-31 01:53:47
1818120751735505_1821352268079020,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1821352268079020/?type=3,2016-10-30 17:17:49
1818120751735505_1821348148079432,,Sᴇʟᴇᴄᴛᴇᴅ Aᴍʙɪᴇɴᴛ Mᴇᴍᴇs Vᴏʟ. III,video,https://www.facebook.com/SelectedAmbientMemesV3/videos/700275766787375/,2016-10-30 17:09:41
1818120751735505_1821343831413197,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1821343831413197/?type=3,2016-10-30 16:58:23
1818120751735505_1821342164746697,"Banhammer birb

https://m.facebook.com/justanothermemepage1/photos/a.1021662754559746.1073741827.1021651504560871/1261000957292590/?type=3",Just another meme page,photo,https://www.facebook.com/justanothermemepage1/photos/a.1021662754559746.1073741827.1021651504560871/1261000957292590/?type=3,2016-10-30 16:54:24
1818120751735505_1821301244750789,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1821301244750789/?type=3,2016-10-30 14:28:13
1818120751735505_1821219361425644,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1821219361425644/?type=3,2016-10-30 10:38:59
1818120751735505_1821206011426979,"Requirements for running a smooth meme operation:

1. A literal butt ton of autism u frig",,status,,2016-10-30 10:00:55
1818120751735505_1820458318168415,Admins who forget to switch posting as from the page to their personal accounts when they like a meme are the most powerful race in the world,,status,,2016-10-29 02:58:11
1818120751735505_1820347441512836,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1820347441512836/?type=3,2016-10-28 20:27:21
1818120751735505_1820316908182556,Not many people realize it but a single Dorito has more extreme nacho cheese flavor than a 14th century Prussian peasant would have in his or her entire life.,,status,,2016-10-28 18:35:59
1818120751735505_1820207598193487,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1820207598193487/?type=3,2016-10-28 12:52:00
1818120751735505_1819838261563754,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1819838261563754/?type=3,2016-10-27 20:45:34
1818120751735505_1819657021581878,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1819657021581878/?type=3,2016-10-27 12:24:21
1818120751735505_1819377648276482,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1819377648276482/?type=3,2016-10-26 22:42:59
