status_id,status_message,link_name,status_type,status_link,status_published
833622823422420_865704820214220,I just threw a bag of cheetoes into my bed like I was going to start raping it,,status,,2016-01-16 17:20:15
833622823422420_865699053548130,If they don't have cheese slices at the convenience store down the street I won't eat this week. That's where I'm at,,status,,2016-01-16 17:02:46
833622823422420_864946286956740,"Three steps to enjoying your weekend!
1) Go to bed
2) Every time you hear a noise say ""No!""
3) Die alone
Note: this also works for ""days at the beach"" and ""your vacation""",,status,,2016-01-15 07:31:58
833622823422420_864698313648204,Actually I think I will just leave one earbud out so I seem approachable and able to converse. Baby steps,,status,,2016-01-14 16:43:54
833622823422420_864698083648227,The cute girl who works on the other side of my floor walked by my desk twice today. I kept thinking she was going to take her top off but she didn't. I think she likes me. Maybe I will ask her if she likes girls,,status,,2016-01-14 16:43:16
833622823422420_863051063812929,When you see somebody you use to have a crush on on tinder and you know in a week you will have to come to terms with the fact that she doesn't like you and never will like you and that you are weird and a loser,,status,,2016-01-11 13:20:35
833622823422420_862546467196722,I knew it,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/862546467196722/?type=3,2016-01-10 14:22:56
833622823422420_862521143865921,Soon my band's fb page will have more likes than this one and I won't be able to tell them I'm objectively cooler than them. I'll just be subjectively cooler than them,,status,,2016-01-10 13:28:02
833622823422420_862097060574996,I'm recording with my band today so I guess I'm super fuckable or w/e,,status,,2016-01-09 18:28:05
833622823422420_861533370631365,"Somebody in my office just yelled ""it's 420 everybody"" get me out of here",,status,,2016-01-08 15:21:55
833622823422420_861468593971176,Never mind the dude broke it and blamed it on my computer. I will be computer less forever fuck everything the world can end today I don't care,,status,,2016-01-08 12:57:07
833622823422420_861286377322731,"I just got some thing to generate my ""Netflix and chill"" partner and it was your mom",,status,,2016-01-08 07:51:42
833622823422420_860955484022487,"After a month of living without a computer, which is hard for a cute lil nerd like me, tomorrow it should finally be fixed. I'm a sweet little happy baby",,status,,2016-01-07 13:11:44
833622823422420_860042377447131,Scrappy-Doo in a Rowan Atkinson robot made me possess my friends body and look at her boobs,,status,,2016-01-05 22:58:52
833622823422420_859936810791021,Once I get my computer back I will have so much anime to watch,,status,,2016-01-05 17:02:54
833622823422420_858580714259964,"Apparently Mr. Clean has a smart phone, anybody gonna hit me up with that bitches snapchat?",,status,,2016-01-03 02:55:22
833622823422420_858419507609418,Just spent $15 on groceries for the week ayyyy,,status,,2016-01-02 17:37:36
833622823422420_858372117614157,I just got fantasy life and I really want to play it but I have to finish prepping this D&D campaign. Neeeeeeeeeeeerd,,status,,2016-01-02 15:09:33
833622823422420_858259944292041,My Christmas sweaters arrived today...,,status,,2016-01-02 09:30:15
833622823422420_858034674314568,Finally finished making my little brother's character sheet for D&D on Sunday....,,status,,2016-01-01 20:53:37
833622823422420_857926794325356,Druids are so complicated,,status,,2016-01-01 14:50:05
833622823422420_857729627678406,The first thing I did in the new year was have a sore tummy and throw up. Nothing ever changes nothing matters,,status,,2016-01-01 07:39:11
833622823422420_857188501065852,I was going to call in sick today but it seemed like too much work,,status,,2015-12-31 07:48:53
833622823422420_857188164399219,Some producer dude liked my demo and is going to produce us. He wants money and stuff but it's pretty cool,,status,,2015-12-31 07:47:41
833622823422420_856301647821204,I get so many notifications on my phone that sometimes I need to put it under a pillow and let the world go away,,status,,2015-12-29 13:18:30
833622823422420_855555421229160,I had a bad dream last night and I wonder if I'm going to have one again tonight. Part of me wants to because even though it hurts I still see them again and even though I hate it I still love it.,,status,,2015-12-28 00:47:28
833622823422420_855552884562747,I hate it when this happens,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/855552884562747/?type=3,2015-12-28 00:39:39
833622823422420_855503447901024,"Over 100 likes, kiss my buns I'm famous",,status,,2015-12-27 22:10:12
833622823422420_854996784618357,I woke up to a loud crash but I couldn't find what made the noise. Now not only did I spend half the evening sleeping but I have to spend the rest of it ghost hunting. Ugh,,status,,2015-12-26 21:33:17
833622823422420_854287114689324,New favorite activity: watching my dad Facebook,,status,,2015-12-25 20:49:38
833622823422420_854260438025325,"Almost at 100 likes just like ""rly?""",,status,,2015-12-25 19:33:35
833622823422420_854223634695672,"If we evolved from monkeys why does some of our body just go ""fuck it I'm still hairy idgaf"" specifically wondering about peenies and vagoos #philosophicaltummyache",,status,,2015-12-25 18:03:31
833622823422420_854215048029864,I just swore at a bag of skittles. Things are going down hill,,status,,2015-12-25 17:37:25
833622823422420_854214934696542,This is why nobody loves me,,status,,2015-12-25 17:36:50
833622823422420_854214878029881,Ugh I feel so fat and useless. I understand my dog's existence now,,status,,2015-12-25 17:36:35
833622823422420_854212878030081,Uuuunnngh somebody broke into my house and made me eat a bunch of food. Uuuuuuuuuuunnnnngh I don't deserve this,,status,,2015-12-25 17:28:10
833622823422420_853733958077973,Apparently in the two hours of sleep I got I managed to get the Spanish flu and stage three throat cancer greeeeeaaaaaat,,status,,2015-12-25 05:04:41
833622823422420_853733178078051,I love you push push,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/853733178078051/?type=3,2015-12-25 05:02:20
